Req ID,Domain,Target surface (amended IA),Requirement (improved ask),Why it matters (stakeholder intent),Source,Ask evolution (AGL amendment),Acceptance criteria,Status (code-verified),What exists today (evidence),Gap to close,Data dependency,Build phase,Priority,Effort
ACC-01,Position,Accounts,"Accounts is the single system of record - every account both countries in one ledger; every other page is a view over it","'The only page that holds records' - trust starts here","Walkthrough p5-6; Capabilities p4","-","One persisted ledger; all pages derive from it",Partial,"Architecture is real: AccountsContext is the single ledger every page reads (dashboard, goals, analyzer, copilot, TopNav, DataCompletion). BUT it is localStorage-only, seeded from mock accounts; Prisma Account table only touched by seed script - no page/API reads it","Wire the ledger to the DB (server persistence per user); today a cleared browser loses everything and every fresh user gets the demo portfolio","F-01 (DB persistence)",1-Spine,P0,L
ACC-02,Position,Accounts,"Every row shows freshness (Today / 2 days / 3 months / 14 months); stale rows visually flagged","Cross-border data is asynchronous by nature; trust requires knowing data age","Walkthrough p5-6","Reviewer comparison flags this as 'one of the clearest differences'","Age rendered per row; stale threshold styling",Missing,"Schema-only: Account.lastSyncedAt exists (schema.prisma:29) but never mapped into Holding or rendered; AccountRow UI shows no dates (accounts/page.tsx:613-693); dashboard 'Synced just now' pill is a hardcoded string (page.tsx:162-165)","Capture as-of timestamp on every add/link/edit; render age per row; stale styling; remove fake 'Synced just now'","None - timestamp on write",1-Spine,P0,S
ACC-03,Position,Accounts,"Stale-data guidance: refresh oldest+largest first, with narrative ('fund data is oldest and second-largest - refreshing moves net worth most')","Tells the user which single action most improves accuracy","Walkthrough p5-6","-","Computed narrative ranks staleness x size",Missing,"Accounts Insights rail covers only NRO->NRE and PFIC (accounts/page.tsx:274-303); no staleness concept exists","Needs ACC-02 first, then age-x-value ranking + narrative line","ACC-02",1-Spine,P1,S
ACC-04,Position,Accounts,"Summary strip: Assets / Less debt / Net worth as three co-equal figures","Makes the net-worth equation visible","Walkthrough p5","AGL: if 'less debt' shown, debt accounts must appear (they now do)","Three figures rendered; equation obvious",Divergent,"All three numbers computed (netWorth() portfolio.ts:150-166) but rendered as headline + small subtext line; strip's three slots used for Net worth / US / India instead (accounts/page.tsx:136-195)","Relayout choice: either promote assets/debt to co-equal figures or accept jurisdiction-first strip (current form is defensible - decide deliberately)","None",1-Spine,P2,S
ACC-05,Position,Accounts,"Debt accounts live inside the Accounts ledger - each debt is an account","AGL: debt is not a separate page; every debt has a corresponding account","AGL review (kills Debt page)","AGL amendment absorbed the walkthrough's Debt page","Liabilities are rows in the same ledger",Built,"10 liability types in same ledger via Asset/Liability toggle (accounts/page.tsx:1041-1078), 'Debt' badge rows, nested under secured asset with equity subtotal, netted into net worth (portfolio.ts:73-134)","-","None",1-Spine,Done,-
ACC-06,Position,Accounts,"Type-based filters & summaries (Banking: cash/credit/savings; Investments: brokerage/retirement/education; Assets: real estate; Liabilities: loans) + sorting that scales to 30+ accounts","Power users have ~30 accounts (reviewer has 30 in Quicken); jurisdiction alone doesn't cut it","AGL review (Quicken example)","New ask added by AGL on top of walkthrough's country grouping","Type tree filter + user sorting + scalable list",Partial,"Country tabs All/US/India, free-text search, auto sort by value desc, per-country asset-class donut (accounts/page.tsx:105-222, 458-461, 500-557; byAssetClass portfolio.ts:170-250)","No type/category filter tabs, no user-selectable sorting, no collapse/pagination for 30+ accounts","None",1-Spine,P1,M
ACC-07,Position,Accounts,"Assets AND liabilities summarized by category, incl. unlinked/estimated assets","Summary must cover the whole book, not just linked accounts","AGL review","-","Category rollups for both sides incl. estimates flagged",Partial,"Asset class summaries include manual/unlinked assets (portfolio.ts:192-250); liabilities excluded from class breakdown by design (portfolio.ts:236) - only one aggregate debt figure","No liability category breakdown (mortgages vs loans vs cards); no 'estimate' designation on appraised values","None",1-Spine,P2,S
ACC-08,Position,Accounts,"US accounts live through Plaid with ONGOING periodic sync","'All live' column in walkthrough implies continuously fresh, not linked-once","Walkthrough p5-6; Capabilities p9","-","Balances refresh on schedule/webhook; lastSyncedAt updates",Partial,"Real link flow: create-link-token, exchange (encrypts token into PlaidItem), disconnect (api/plaid/*); but balances captured exactly once at link time into localStorage (PlaidConnect.tsx:53-96)","No sync route, no cron/webhook; lastSyncedAt + BalanceSnapshot schema-only; linked balances go permanently stale","Plaid transactions/balance product + job runner",1-Spine,P1,M
ACC-09,Position,Accounts (India ingestion),"India ingestion ladder: manual entry -> CAS upload (CAMS/KFintech parsing) -> document extraction (deeds, Form 16A, policies, statements) -> Account Aggregator (aspirational)","6 of 8 domains depend on India data collected by hand; CAS is the single biggest India asset class unlock","Capabilities p9-10","Capabilities: 'India procurement is a separate workstream, not a backlog item'","CAS PDF parses into mutual-fund holdings with as-of date",Partial,"Manual India entry rich and built (IN types + instrument details, accounts/page.tsx:897-1375); AI text-add exists (AiAddPanel); AA correctly 'Coming soon' (AddAccountChooser.tsx:86-94); pdf_upload source enum + PDF badge exist but no code path sets them (dead)","No CAS upload/parsing, no document extraction, no file-upload UI at all","CAS parser (CAMS/KFintech formats) - own workstream",2-State,P0,L
ACC-10,Position,Accounts,"Ownership & title mapping per asset (in whose name; joint holdings like 'You + father')","Feeds Estate ('who owns what') and India succession reality","Capabilities p4; Walkthrough p19","-","Owner field per asset; joint ownership representable",Missing,"No owner/joint-holder field on Holding, Prisma Account, or dialog; zero scaffolding (grep confirms)","Entire feature: data model + UI + rendering; prerequisite for LEG-01","None",3-Moat,P2,M
ACC-11,Position,Accounts,"Data confidence & provenance per record (source + freshness + trustworthiness)","Trust layer: users must know what's live vs hand-typed vs estimated","Capabilities p4 (Trust & data)","-","Every row: source badge + age + confidence tier",Partial,"Source field + SourceBadge (Plaid/Setu/PDF) render on rows (accounts/page.tsx:716-730); only plaid/manual actually occur; manual is silently unbadged","No freshness component (ACC-02), no confidence tier distinguishing live sync from 14-month-old estimate","ACC-02",1-Spine,P1,S
PERF-01,Performance,Performance (new page),"Headline return decomposed: reported = currency effect + real, with stacked-bar visual and narrative ('three quarters of the gain was the exchange rate')","'A US-only view calls rupee movement growth. This separates the two' - the flagship chart no competitor can draw","Walkthrough p7-8","-","Reported/currency/real triple with visual; narrative auto-generated",Partial,"Only a MoM change chip computed from MOCK history rescaled to live total (page.tsx:138-141); no decomposition code anywhere; FX constant 95, no FX series","Entire decomposition engine + Performance page; needs real balance history + FX history (BalanceSnapshot & FxRate are schema-only)","F-02 + F-03",2-State,P1,L
PERF-02,Performance,Performance,"Three return lenses for ANY account or category: local-currency ('real'), USD-adjusted, INR-adjusted","AGL sharpens the ask: user picks the lens per account/category, not one global view","AGL review (amends walkthrough)","AGL amendment: three types of return, selectable","Lens switcher works per account and per category",Missing,"No historical returns computed at all (analyzer: 'Snapshot tracking isn't wired yet'); currency toggle reformats VALUES not RETURNS; only forward-looking expected returns exist (allocation.ts:307-337)","Per-account return series + three-lens math + selector UI","F-02 + F-03 + per-account history",2-State,P1,L
PERF-03,Performance,Performance,"By-side performance: US local / India local (INR) / India after FX - catches 'India lost value in rupees, still looks positive in dollars'","The divergence case is exactly what mono-currency tools hide","Walkthrough p7-8","-","Three by-side figures from real data",Partial,"Global/US/India hero filter exists but rescales the SAME mock USD series - every side shows identical mock % change; structurally cannot catch FX divergence (page.tsx:135-141, 200-215)","True per-side local-currency return computation","PERF-01 engine",2-State,P1,M
PERF-04,Performance,Dashboard + Analyzer,"Blended asset allocation across both jurisdictions in one view","Baseline cross-border competence","Walkthrough p7; Capabilities p4","-","One allocation view spanning US+India",Built,"'Asset Allocation - by class, across both countries' donut+bars from byAssetClass() over all holdings (page.tsx:452-525); analyzer 5-bucket currentAllocation (allocation.ts:170-194). Live from context (mock-seeded by default; INR at rate 95)","-","None",1-Spine,Done,-
PERF-05,Performance,Performance + central alerts,"Concentration & liquidity detection: employer stock as % of equity; 'salary and position share one point of failure'","Correlated-risk blindspot for tech-employed NRIs (RSU-heavy)","Walkthrough p7-8; Capabilities p4","-","Deterministic rule fires on position concentration",Missing,"Unrepresentable today: data model is account-level, no security/position/RSU concept (Holding portfolio.ts:45-70); 'concentration risk' appears only as AI prompt topic hint with no position data to detect from","Position-level holdings data + deterministic rule + liquidity classification","Plaid investments/holdings product or manual positions",2-State,P2,L
PERF-06,Performance,Open items (central),"Alerts & suggestions standardized into ONE canonical site, separate from factual summaries","AGL: concentration warning (and all suggestions) need one home, not scatter","AGL review","AGL amendment; converges with OI-01/OI-06","All recommendations flow to one surface; pages keep facts only",Partial,"Central-ish: 'Needs attention' card + /api/insights pipeline (real, ranked). But scattered too: Accounts side-rail insights, KPI 'rebalance suggested' chips, analyzer teaser move, PFIC footer (accounts/page.tsx:274-303; page.tsx:444, 692-704)","No dedicated alerts page (top-3 cap, no view-all); ad-hoc per-page warnings not consolidated","OI-01 model",1-Spine,P1,S
PERF-07,Performance,Performance,"Benchmarking against both markets (US & India indices)","'How am I doing' needs two yardsticks for two-sided wealth","Capabilities p4","-","Portfolio return vs S&P + Nifty side by side",Missing,"Nothing: no index data source, no benchmark series, no comparison UI (grep confirms)","Index data ingestion + portfolio return series (PERF-01) + UI","Index data feed + PERF-01",2-State,P2,M
PERF-08,Performance,Performance,"FX attribution on every movement - each change decomposable into real vs currency","Attribution as a property of the ledger, not one headline","Capabilities p4","-","Any movement can show its FX component",Missing,"No movements tracked at all; BalanceSnapshot + FxRate models exist but zero reads/writes from app code","Movement tracking + FX series + decomposition; superset of PERF-01","F-02 + F-03",2-State,P2,L
DEBT-01,Liabilities,Accounts,"Every debt both sides with balance, rate, AND tax deductibility per country (India-only / US / No); include margin loans and loan-against-property","Two rate regimes, two deductibility rules - the table is the point","Walkthrough p9-10; Capabilities p5","-","Deductibility column per liability; full type coverage",Partial,"Both-country debt types with balance ('Amount owed'), APR, min payment, payoff date (account-details.ts:31-45; dialog accounts/page.tsx:1187-1247); APR on row via detailSummary. localStorage only; Prisma Account has no liability fields","No deductibility field/logic anywhere (grep: zero hits); no margin or LAP types; not DB-persisted","F-01",2-State,P1,S
DEBT-02,Liabilities,Accounts,"Debt lives inside Accounts as rows; rollups are views not a separate silo","AGL: 'this should just be part of accounts'","AGL review","AGL amendment (kills Debt page)","No separate debt nav; ledger rows + summary views",Built,"Each debt is a Holding (kind: liability) in the shared ledger with Debt badge, nested under secured asset with equity subtotal; netted into net worth; no debt page in nav","-","None",1-Spine,Done,-
DEBT-03,Liabilities,Analysis surface,"Cross-currency mismatch banner: '80% of your debt is in rupees; 100% of your income is in dollars'","The FX-mismatch framing is the NRI-specific debt risk","Walkthrough p9","AGL: belongs on an analysis page, not a debt tab","Ratio computed and surfaced with the banner copy",Missing,"Ingredients exist separately (USD income in BudgetContext:26-27; per-country debt via isLiability/usdValue) but nothing computes or renders the ratio","Simple ratio + banner UI on the analysis surface","None",2-State,P1,S
DEBT-04,Liabilities,Analysis surface,"Prepay-vs-invest: guaranteed saving at loan rate vs after-tax expected return, WITH FX sensitivity ('a 5% rupee move shifts this by ~Rs 18,000')","'Check the comparison before you send money in either direction' - currency-sensitive, not just rate-sensitive","Walkthrough p9-10","AGL: consolidate on analysis page","Comparison card with FX sensitivity note",Missing,"Zero prepay code (grep); analyzer has no liability references; no FX sensitivity math anywhere","Whole comparison card: loan rate vs portfolioExpectedReturn (exists!) + FX scenario shift","Existing expected-return engine + FX rate",2-State,P1,M
DEBT-05,Liabilities,Accounts + Home widget,"Debt rollups: total debt, blended rate, monthly service","The three-number debt health read","Walkthrough p9","-","Three figures live on Accounts and Home",Partial,"Total debt only (netWorth().liabilitiesUsd on strip + dashboard); minPayment captured per loan (portfolio.ts:38) but never aggregated; no balance-weighted APR","Blended APR + monthly service aggregation + display","None",2-State,P1,S
DEBT-06,Liabilities,Plaid integration,"Pull Plaid Liabilities product for rate/term where supported (cards, student loans, mortgages)","Auto-fill what Plaid knows; manual for the rest","Capabilities p9 (footnote)","-","Linked liabilities arrive with rate/term",Missing,"Plaid Link requests products: [Auth] ONLY (create-link-token/route.ts:18); exchange calls only accountsGet; no liabilitiesGet anywhere","Add Liabilities product + mapping into liability holdings","Plaid product scope change",2-State,P2,M
CF-01,Cash flow,Cash flow (new page),"Both-sides cash flow: itemized income (salary, RSU averaged, India rent, NRO interest), spending, family support, debt service - as In / Out / Net monthly","'Crossing the border is where NRIs lose the most without ever noticing' - but first the flows must be visible","Walkthrough p11-12; Capabilities p5","-","In/Out/Net panel with line items per side",Partial,"Single-side envelope budget only: one USD income number + user categories + allocated/remaining (budget/page.tsx:63-174; BudgetContext seed: Rent, Investments, Groceries, Shopping)","No income itemization, no India-side flows, no family-support/debt-service lines, no In/Out/Net presentation","None to start (manual); later Plaid transactions",2-State,P1,M
CF-02,Cash flow,Cash flow + Goals,"Outflows tied to a plan/goal (annual cash needed in US and India) rather than free-typed; guidance follows from the plan","AGL: if 'going out' is manual anyway, make it a plan with guidance attached","AGL review (reframe)","AGL amendment of walkthrough's static Out column","Cash-need plan drives outflows + transfer guidance",Partial,"Goals are account-linked and cost-goals dip the analyzer projection at target year (analyzer/page.tsx:170-219) - a plan-driven outflow in spirit; budget categories remain free-typed USD","No annual-cash-needed-per-country plan; goal outflows only affect the wealth curve, not cash/transfer planning","CF-01",3-Moat,P2,M
CF-03,Cash flow,Cash flow (border panel),"Border panel: LRS limit tracking ($250k/FY used vs remaining) + transfer-options guidance (lump sum vs monthly, issues, mechanics)","AGL: THIS is what matters at the border - not rate gimmicks","Walkthrough p11; AGL review","AGL explicitly deprioritizes rate-vs-personal-average in favor of LRS + options guidance","LRS used/remaining visible; option guidance rendered",Missing,"Schema-only: ComplianceData.lrsUsedUsd (schema.prisma:75) seeded to 0, never read/rendered anywhere; copilot can only discuss repatriation generically with no LRS data in prompt","Border panel UI + transfer tracking to populate LRS usage + guidance content","Transfer/remittance tracking (manual entry OK to start)",2-State,P1,M
CF-04,Cash flow,Cash flow (border panel),"Repatriation headroom this FY (incl. NRO $1M cap) shown as a live figure","Headroom is a hard planning constraint on moving money","Walkthrough p11","-","Headroom figure computed from tracked transfers",Missing,"Nothing; only the never-read lrsUsedUsd field","Headroom calc + FY reset logic + display","CF-03 tracking",2-State,P1,S
CF-05,Cash flow,Cash flow,"One net monthly figure combining BOTH sides","The single number for the weekly 90-second check","Walkthrough p11","-","Cross-border net = all in minus all out",Partial,"Budget 'remaining' chip = income minus allocated (budget/page.tsx:19-20,151-160) - single-side allocation remainder, not two-sided net","Becomes real once CF-01 lands (both-side flows)","CF-01",2-State,P1,S
CF-06,Cash flow,Cash flow,"Remittance corridor comparison + structured repatriation mechanics (pathways, TDS, forms, net dollars)","Corridor choice is real money on every transfer","Capabilities p5","-","Corridor compare UI; mechanics with forms linked",Partial,"AI-chat-only: copilot prompt lists repatriation/15CA-CB as explain-topics (api/copilot/route.ts:131); mock 15CA deadline exists but never rendered (DEADLINES has no importers)","No corridor data/comparison, no structured mechanics UI","Corridor fee/rate data source",3-Moat,P2,M
TAX-01,Compliance,Tax (new page) - THE SPINE,"Residency status engine: NRI -> RNOR -> ROR timeline derived from day-counts + visa facts; every other feature keys off it","'Status decides which rules apply. Nothing else on the platform works without it' + 'The status engine is the spine'","Walkthrough p13-14; Capabilities p6, p11","-","Status + transition dates computed from real inputs; consumed platform-wide",Partial,"Only a 182-day counter KPI driven by hardcoded mock RESIDENCY (daysInIndia: 134, insights.ts:28-33; page.tsx:414-432); ComplianceData.indiaDaysCurrentYear schema-only; onboarding captures visa/tax status but ProfileContext.taxStatus never consumed by any logic","No RNOR/ROR concept anywhere (zero grep hits); no day-count engine; no timeline; captured visa facts unused; nothing keys off status","Day-count input (manual or travel log) - visa facts already captured",1-Spine,P0,L
TAX-02,Compliance,Plan + Tax,"Status treated as a plan: a return-to-India date drives tax moves, asset relocation, future cash needs","AGL: 'status seems like another plan... not just a tax page'","AGL review (reframe)","AGL amendment; converges with PLAN-01","Return date input exists and propagates consequences",Missing,"No return-to-India date anywhere (grep: nothing); goals have targetYear but no residency linkage","Return-date input + consequence propagation (needs TAX-01 + PLAN engine)","TAX-01",3-Moat,P1,M
TAX-03,Compliance,Tax,"US filing board: FBAR, 8938, 8621 per PFIC fund, 3520 - each with status chip + deadline","Work the red items first; each links to a guided fix","Walkthrough p13-14","-","Stable board (not just top-3 triage); per-form status",Partial,"FBAR/8938/8621 items with ok/attention/overdue levels + deadline metas from complianceItems() (portfolio.ts:296-341) + FBAR KPI ring; real holdings-derived (FBAR peak faked as current x 1.04, portfolio.ts:277)","No Form 3520; 8621 is one aggregate line not per-fund; it's a triage card not a stable filing board; AI route can omit items","True FBAR peak needs F-03 snapshots",1-Spine,P1,M
TAX-04,Compliance,Tax,"India filing board side by side: ITR status, NRO TDS 30% + DTAA relief, 15CA/15CB on transfer, Schedule FA from ROR","'The one domain no US tool and no India tool serves' - the side-by-side IS the product","Walkthrough p13-14; Capabilities p6","-","India column renders next to US column",Partial,"Only NRO TDS angle exists: tdsSavingInr computed from live NRO holdings -> 'Move NRO savings to NRE' insight (accounts/page.tsx:85-87, 278-288); ITR/15CA exist only in dead mock DEADLINES (never imported)","No India filing board, no ITR status, no DTAA tracking, no 15CA/CB flow, Schedule FA appears nowhere","TAX-01 (Schedule FA gating on ROR)",1-Spine,P1,M
TAX-05,Compliance,Tax engine,"Obligation detection: auto-derive WHICH filings apply from holdings + residency status","Detection, not documentation - users don't know what they owe","Capabilities p6","-","Filing set changes when status or holdings change",Partial,"Genuinely derived from holdings: FBAR/FATCA on India balances vs $10k/$50k thresholds; 8621 on PFIC flags; India MFs auto-flagged PFIC on add (portfolio.ts:296-341; accounts/page.tsx:987)","Status never an input (mock + disconnected); 3 US filings only; no 3520, no India obligations","TAX-01",1-Spine,P1,M
TAX-06,Compliance,Tax,"PFIC handling: identification + aggregate exposure sizing + exit/unwind cost modeling ('here's what unwinding costs')","PFIC is the scariest NRI trap; exit modeling is the differentiator","Capabilities p6; Walkthrough p6 quote","-","Exposure $ figure + unwind cost estimate per fund",Partial,"Identification built and real: isPfic auto-set for India MFs, badges on dashboard + ledger, count in compliance items, names fed to copilot prompt (api/copilot/route.ts:144)","No aggregate exposure dollar figure; no exit/unwind cost modeling (copilot mentions QEF/MTM as chat topic only)","Purchase dates/cost basis per fund",3-Moat,P2,M
TAX-07,Compliance,Tax,"Treaty relief: DTAA positions + foreign tax credit tracking","Avoid double taxation - the reason cross-border filing pays for itself","Capabilities p6","-","DTAA positions stored; FTC tracked",Missing,"DTAA is only a keyword in AI prompts + landing copy + unused canned answer; 'foreign tax credit' appears nowhere in src","Data model + UI for treaty positions and credits","TAX-04",3-Moat,P2,M
TAX-08,Compliance,Tax + calendar,"Unified filing calendar (both countries) + professional handoff artifacts","One calendar; and when DIY ends, hand a clean package to a CPA","Capabilities p6","-","Calendar renders; exportable handoff package",Missing,"Scaffolding only: DEADLINES mock array (US+India items) never imported by any component; sidebar 'Deadlines' is a dead placeholder to '/'","Calendar UI (mock data is a content starting point) + export/package generation","TAX-03/04 boards",2-State,P2,M
TAX-09,Compliance,Everywhere,"Reminders + plain-language explanations of each requirement","AGL: 'reminders and explanations of requirements useful'","AGL review; Walkthrough p14","-","Explanations per item; scheduled reminders fire",Partial,"Explanations real: complianceItems detail strings use live numbers; copilot explicitly prompted to explain FBAR/FATCA/PFIC/DTAA/182-day in plain English (api/copilot/route.ts:131,158-164)","No reminder system whatsoever - no notifications, email, or scheduling code","Notification channel (email/push)",2-State,P2,M
TAX-10,Compliance,Tax + Plan,"RNOR window framing: 'last cheap window' - sell US gains inside RNOR; at ROR the US portfolio becomes reportable in India","Turns the status engine into money decisions","Walkthrough p13; Capabilities p7 quote","-","Window insight renders with dates + implied actions",Missing,"RNOR appears nowhere in src; the 182-day mock counter addresses a different rule","Depends entirely on TAX-01; then insight + action generation","TAX-01",3-Moat,P1,S
GOAL-01,Planning,Goals,"Guided goal creation: pick type -> suggested amounts -> assign funding (accounts AND cash flows) -> widget lands on Home","AGL: 'should be a guided flow... building toward a widget on home page'","AGL review","AGL amendment (walkthrough showed outcome, AGL adds the flow)","Stepped flow with per-type amount suggestions",Partial,"Dialog has category picker, AI-suggested amount+year (real Anthropic call, api/goals/suggest), account-funding picker with live balances, Home widget exists (goals/page.tsx:393-785; page.tsx:527-591). localStorage + mock seed; no Goal model in prisma","No cash-flow funding assignment (accounts only); suggestions require free-text AI rather than per-type defaults; no server persistence","F-01",1-Spine,P1,S
GOAL-02,Planning,Goals,"Each goal tracked in its OWN target currency (USD college fund, INR medical fund, INR loan payoff)","'Target currency and funding currency are rarely the same' - USD-only display was flagged by every reviewer","Walkthrough p15-16","-","Currency picker per goal; progress in target currency",Missing,"Goal type has only targetUsd/currentUsd - no currency field (goals.ts:65-81); dialog hard-labeled 'Target (USD)' (goals/page.tsx:658)","Per-goal currency field + INR-denominated tracking + currency-aware progress","F-02 (live FX)",1-Spine,P0,M
GOAL-03,Planning,Goals,"Progress + explicit funding sources visible per goal (which accounts/flows fund it)","Funding transparency is what makes progress credible","Walkthrough p15-16","-","Goal card names its funders",Partial,"Progress bars + funded amounts live from linked accounts (resolveGoal/goalLinkedUsd goals.ts:89-105); card shows only 'Funded live from N accounts' - names only in edit dialog","Name funding accounts on the card; cash-flow funding doesn't exist","None",1-Spine,P2,S
GOAL-04,Planning,Goals,"Currency-mismatch flag when funding currency differs from target currency","'A rupee goal funded in dollars can fail on FX alone while saving stays on track'","Walkthrough p15-16","-","Mismatch chip renders; FX movement reflected in status",Missing,"No FX-risk logic anywhere; goals have no currency dimension; FX hardcoded 95","Needs GOAL-02 first, then mismatch detection + chip","GOAL-02 + F-02",2-State,P1,S
GOAL-05,Planning,Goals + Home,"Explicit per-goal status chips: On track / Ahead / Behind / Currency risk","Status at a glance is what the Home widgets summarize","Walkthrough p15","-","Every goal card carries a computed status chip",Partial,"Cost/investment chip + footer state ('Goal reached'/required $ per month) exist (goals/page.tsx:290-307, 357-376); explicit On-track/Short banner only for retirement inside Analyzer (analyzer/page.tsx:842-895)","Generalize trajectory-vs-need classification (goalMonthlyNeeded exists) to all goals as chips; currency-risk needs GOAL-02","None (math exists)",1-Spine,P1,S
