Domain,Surface / Page,Feature,What it does,Data source,Also shown on (cross-surface),Status,Enhancement needed
CASH FLOW,(no page),12-month personal FX average,Compare today's rate to user's own transfer history,NOT BUILT,-,Missing,No transaction/transfer ledger to compute from
COMPLIANCE,Dashboard (/),Needs-attention queue,"Top 3 ranked compliance alerts (FBAR / PFIC / FATCA); AI or rule-based",AI /api/insights with rule-based fallback (fbarStatus, pficHoldings, FATCA),TopNav status pill; Copilot context,Done,Ranking not visually obvious (reviewer note)
COMPLIANCE,Dashboard (/),FBAR threshold KPI,India peak vs $10k limit with radial gauge,Computed (approx current x 1.04),Needs-attention,Needs enhancement,Peak is approximated not true 12-mo max from snapshots
COMPLIANCE,Dashboard (/),India residency KPI,Days in India vs 182-day rule,Hardcoded mock RESIDENCY,Copilot,Needs enhancement,Wire to real day-count; ComplianceData.indiaDaysCurrentYear exists but unused
COMPLIANCE,Dashboard (/),PFIC detection,Flags India mutual funds needing Form 8621,Computed (isPfic),Accounts badges; Copilot; insights,Done,-
COMPLIANCE,(no page),Tax page / status engine,"NRI/RNOR/ROR status timeline; US filings (FBAR/8938/8621/3520); India filings (ITR/TDS/15CA-CB/Schedule FA) side by side",NOT BUILT (US side partly on dashboard),-,Missing,"Walkthrough Tax page (slide 13) - status engine is the 'spine'; India-side filings entirely absent"
COMPLIANCE,Copilot,DTAA / NRE-NRO guidance,Answers tax questions grounded on holdings,AI grounded,-,Done,-
COMPLIANCE,Accounts (/accounts),NRE/NRO optimizer,Estimated TDS saving moving NRO to NRE (~6% x 30%),Computed,-,Done,-
PLANNING,Goals (/goals),Goal tracking,"Goals with category, target USD, progress %, target year, age-at-target, Cost vs Investment kind",Client GoalsContext; live from linked accounts (resolveGoal),Dashboard goals card; Analyzer (retirement); Copilot,Done,-
PLANNING,Goals (/goals),Overall progress,Aggregate funded / target radial,Computed,-,Done,-
PLANNING,Goals (/goals),Link accounts to goal,Auto-fund goal from real account balances,Live (linkedAccountIds),-,Done,-
PLANNING,Goals (/goals),AI goal suggestion,Plain-language -> fills name/category/target/year/kind,AI /api/goals/suggest,-,Done,-
PLANNING,Goals (/goals),Target currency per goal,Track each goal in its own currency (rupee goal vs USD funding),NOT BUILT - all goals in USD,-,Missing,"Walkthrough (slide 15-16): pick target currency; India Property shown in USD"
PLANNING,Goals (/goals),Currency-mismatch flag,Warn when funding currency differs from target currency,NOT BUILT,-,Missing,Reviewer + walkthrough: FX can derail a goal while saving stays on track
PLANNING,Goals (/goals),On-track / ahead / behind status,Explicit status label per goal,PARTIAL - progress % shown; Analyzer computes retirement on-track,-,Needs enhancement,Add explicit ahead/behind chip using goalMonthlyNeeded()
PLANNING,Analyzer (/analyzer),Allocation engine,"5 buckets (stocks/bonds/RE/gold/cash); age glide-path + risk dial; interactive rebalance",Computed,Dashboard teaser & India allocation KPI,Done,-
PLANNING,Analyzer (/analyzer),Target vs current split,Compare recommended target to actual holdings; drift,Computed from holdings,-,Done,-
PLANNING,Analyzer (/analyzer),Retirement projection,"Accumulation + drawdown to 90; 4% rule; contribution step-up; goal-cost dips; shortfall warning",Computed,Goals (shared retirement target); Copilot,Done,-
PLANNING,Analyzer (/analyzer),AI retirement planner,Describe retirement in words -> sets age/target/rate/step-up,AI /api/retirement/plan,-,Done,-
PLANNING,Analyzer (/analyzer),AI recommendations,Claude reviews live split & income; cached per user,AI /api/analyzer,-,Done,-
PLANNING,Analyzer (/analyzer),Retirement location scenarios,Retire US ($3.1M) / India ($1.4M) / split ($2.2M) target comparison,NOT BUILT (single target),-,Missing,Walkthrough Goals (slide 15) shows location-dependent targets
PLANNING,(no page),Plan / scenarios page,"Move-back date slider; RNOR window; what-changes-when; every open/closing window on a timeline",NOT BUILT,-,Missing,"Walkthrough Plan page (slide 17-18) - timing decisions; no scenario storage; reviewer: entirely missing"
ESTATE,(no page),Legacy / estate page,"Who owns what; will/POA/nominee coverage per country; heir burden; handover pack",NOT BUILT,-,Missing,"Walkthrough Legacy (slide 19-20) - reviewer flags entirely missing; complex, verify priority"
EXECUTION,(no page / partial),Open items tracker,"Every finding lands here; in-progress with next step + source page; not-started with cost; closed recently",NOT BUILT as a page (findings surface on dashboard only),-,Missing,"Walkthrough Open items (slide 21-22) - the loop that brings users back; no task/tracking model"
EXECUTION,Copilot,Guided data actions,"Copilot proposes add/update account, goal, income, budget category as accept/edit/discard cards",AI [[PROPOSALS]] protocol,Accounts AI-add panel,Done,"Data-change actions only; no form-prep / professional-handoff / account-conversion workflows"
COPILOT,Copilot (/copilot),Grounded chat,"Streaming Claude (Sonnet 4.6) grounded on full portfolio snapshot: holdings, net worth, FBAR/PFIC/FATCA, budget, goals, projections",AI /api/copilot,-,Done,-
COPILOT,Copilot (/copilot),Chat history + persistence,Multiple chats saved to localStorage; starter prompts; capability cards,Client,-,Done,-
COPILOT,Everywhere,Copilot as a layer on every page,Walkthrough vision: copilot present on every page not a tab,PARTIAL - own page + AI-add panel on Accounts,Accounts,Needs enhancement,"Vision is copilot on every page; currently dedicated page + one embedded panel; reviewer wants lower-right chat icon"
COPILOT,Dashboard (/),Ask bar / entry points,Ask Copilot buttons and 'ask how to handle it' links,Links to /copilot,-,Done,Reviewer suggests common chatbot-style floating icon w/ suggested queries
FOUNDATION,Currency,USD / INR / Lakhs-Crore toggle,Global currency display mode,Live via CurrencyContext,All money components,Done,Reviewer wants consistent single-currency toggle (India still USD in places e.g. Goals)
FOUNDATION,Currency,Live FX rate,USD-INR conversion rate,Seeded 83.5 in DB; 'live' referenced but no fetch wired,All,Needs enhancement,No live FX fetch or 12-mo average stored
FOUNDATION,Auth,Clerk auth + onboarding,"Sign-in; onboarding captures name/DOB/country/tax status into Clerk metadata",Live Clerk,-,Done,Tax status in Clerk metadata not DB; not driving a status engine yet
FOUNDATION,Plaid,US account linking,"Link-token, exchange, disconnect; encrypted access token at rest (AES-256-GCM)",Live Plaid (sandbox default),Accounts,Needs enhancement,No background/periodic sync; runs on seed data in demo; Investments/Liabilities products not pulled
FOUNDATION,Nav,Sidebar + TopNav,"Dashboard/Accounts/Analyzer/Copilot live; Budget/Goals reachable; Compliance/Deadlines placeholders",Live,-,Needs enhancement,"Budget/Compliance/Deadlines are muted placeholders in nav; reviewer: navigation not obvious"
FOUNDATION,Data persistence,Goals & insights persistence,Goals live in client state only; insights generated on the fly,Client / transient,-,Needs enhancement,"Goals not persisted to DB (no Goal model); no persistent Open-items/task model"
